D,AGE,CH4
116.215,436.175,706.7
122.215,526.667,701
134.215,691.188,703.7
140.215,781.54,695
145.215,851.629,719
151.215,943.881,682
157.215,1042.59,664
160.015,1089.54,677.3
163.663,1142.88,647.2
171.015,1238.88,637.7
171.045,1239.31,654.7
177.678,1347.94,629.8
182.015,1409.32,645.3
182.045,1409.74,647
187.679,1490.57,632.3
195.015,1599,641
200.633,1683.14,622.4
200.678,1683.77,638.8
208.015,1792.73,629
210.678,1836.4,624.8
219.015,1967.61,618.7
219.045,1968.09,627
223.678,2038.63,612.7
230.015,2063.03,604.3
230.045,2063.13,614.3
235.678,2154.83,615.2
243.015,2262.53,620.3
248.632,2354.19,604.3
259.678,2514.98,593.9
268.015,2647.14,597
268.335,2651.66,602
270.632,2674.75,584.6
270.678,2675.02,591.5
279.015,2823.44,586.7
279.345,2828.78,596.7
283.678,2899.39,588.3
285.678,2928.98,588.3
291.045,2996.76,618.3
307.678,3298.19,586.6
315.015,3404.35,588
319.678,3475.5,582
326.015,3575.5,580
331.633,3671.02,577.3
331.678,3671.64,638.8
339.015,3807.86,594
343.678,3875.53,589.4
352.015,4004.34,585.3
355.678,4068.02,562.6
363.015,4199.41,584.7
368.678,4292.31,576.6
375.045,4408.44,600.3
379.678,4485.61,571.6
388.015,4622.36,584.7
391.678,4676.09,546.2
399.015,4827.11,574.3
399.045,4827.31,570.3
403.678,4908.02,576.6
