D,AGE,CH4
73.475,11.6866,1388.3
82.575,125.677,1194
91.015,217.097,796.3
91.045,217.332,811
94.57,265.204,743.3
101.015,313.227,703
105.57,418.335,694.7
111.015,479.219,687
114.575,504.513,685.1
120.015,532.86,682.7
120.045,534.647,712
125.575,663.428,665.4
132.015,721.866,681
132.045,722.896,685
136.575,780.994,669.7
143.015,869.587,674
148.575,916.545,674.1
156.015,1045.55,675
156.045,1046.29,682.7
156.075,1047.02,677
156.535,1058.24,661.7
160.575,1101.39,637.7
169.015,1236.68,650
169.045,1236.71,654
169.535,1237.2,660.5
173.575,1269.9,628.7
180.015,1325.6,637
183.575,1427.48,637.2
192.015,1433.4,630.3
196.575,1619.62,619.5
204.015,1670.05,630.3
208.575,1760.46,641.4
216.015,1847.66,636
220.575,1876.45,621.5
227.535,1983.41,617.7
232.57,2100.36,620
240.025,2194.13,601
244.575,2277.15,611
253.015,2404.91,608.7
256.575,2429.33,598.7
264.015,2529.58,597.7
264.045,2530.84,606.3
264.075,2532.09,598
264.535,2551.32,605.3
268.575,2578.18,589
275.015,2695.48,594.7
279.57,2786.9,583.3
288.015,2933.8,586.7
288.045,2934.46,585
288.075,2935.11,609
292.575,2987.33,574.4
300.02,3096.81,578.7
304.575,3165,586.9
312.015,3339.76,592
312.045,3340.79,590
316.575,3402.09,579.8
319.575,3440.39,587.7
324.015,3496.23,579.7
336.015,3747.49,579.7
341.575,3814.44,570
348.015,3889.91,599.7
348.045,3891.71,602
348.505,3919.3,608.7
353.575,4029.73,581.3
361.015,4168.58,572.3
361.045,4169.94,573
361.075,4171.29,576
361.515,4191.15,575.3
365.575,4236.82,562.8
373.015,4394.57,577.3
373.045,4395.87,592.7
373.075,4397.17,577
373.105,4398.48,595
373.535,4417.13,589.3
375.575,4432.44,575.1
385.015,4600.17,573
388.575,4657.5,574.9
397.015,4822.1,567.3
400.575,4889.18,573
409.015,5064.89,557.3
413.575,5135.89,557
421.015,5353.8,548.3
424.575,5386.85,558
433.015,5543.92,567
436.575,5668.28,567.2
444.045,5743.21,576.7
448.575,5911.96,578.1
456.015,5991.1,559
456.045,5992.6,587.7
456.075,5994.1,568
468.015,6253.2,606
472.575,6374.95,578.3
478.015,6451.32,617.7
