D,AGE,CH4
157.215,1042.59,664
160.015,1089.54,677.3
163.663,1142.88,647.2
171.015,1238.88,637.7
171.045,1239.31,654.7
177.678,1347.94,629.8
182.015,1409.32,645.3
182.045,1409.74,647
187.679,1490.57,632.3
195.015,1599,641
200.633,1683.14,622.4
200.678,1683.77,638.8
208.015,1792.73,629
210.678,1836.4,624.8
219.015,1967.61,618.7
219.045,1968.09,627
223.678,2038.63,612.7
230.015,2063.03,604.3
230.045,2063.13,614.3
235.678,2154.83,615.2
243.015,2262.53,620.3
248.632,2354.19,604.3
259.678,2514.98,593.9
